Brand Number,Brand Name,Stock Market
1625,電機精密,東証２部
1626,情通サ他,東証２部
1627,電力ガス,東証２部
1628,運輸物流,東証２部
1629,商社卸売,東証２部
1630,小売,東証２部
1631,銀行・１７,東証２部
1632,金融,東証２部
1633,不動産,東証２部
1651,大和高配４０,東証２部
1652,大和ＷＩＮ,東証２部
1653,大和ＥＳＧ,東証２部
1654,大和ブロサム,東証２部
1655,ｉＳＳＰ米国,東証２部
1656,ｉＳ米国七十,東証２部
1657,ｉＳＭ先進国,東証２部
1659,ｉＳ米リート,東証２部
1660,ＭＸＳ高利Ｊ,東証２部
1662,石油資源,東証１部
1663,Ｋ＆Ｏエナジ,東証１部
1670,ＭＸＳ三菱,東証２部
1671,ＷＴＩ原油,東証２部
1672,金,東証２部
1673,銀,東証２部
1674,プラチナ,東証２部
1675,パラジウム,東証２部
1676,貴金属,東証２部
1677,上場外債,東証２部
1678,インドＮＩＦ,東証２部
1679,ＮＹダウ,東証２部
1680,上場ＭＳコク,東証２部
1681,上場ＭＳエマ,東証２部
1682,白金先物,東証２部
1684,商品,東証２部
1685,エナジー,東証２部
1686,メタル,東証２部
1687,アグリ,東証２部
1688,穀物,東証２部
1689,ガス,東証２部
1690,原油,東証２部
1691,ガソリン,東証２部
1692,アルミ,東証２部
1693,銅,東証２部
1694,ニッケル,東証２部
1695,小麦,東証２部
1696,コーン,東証２部
1697,大豆,東証２部
1698,上場配当,東証２部
1699,野村原油,東証２部
1711,省電舎ＨＤ,東証２部
1712,ダイセキＳ,東証１部
1716,第一カッター,東証１部
1717,明豊ファシリ,東証１部
1718,美樹工業,ＪＡＳＤＡＱ
1719,安藤ハザマ,東証１部
1720,東急建設,東証１部
1721,コムシスＨＤ,東証１部
1723,日本電技,ＪＡＳＤＡＱ
1724,シンクレイヤ,ＪＡＳＤＡＱ
1726,Ｂｒ．ＨＤ,東証１部
1728,ミサワ中国,ＪＡＳＤＡＱ
1730,麻生フオーム,ＪＡＳＤＡＱ
1734,北弘電社,札証
1736,オーテック,ＪＡＳＤＡＱ
1737,ＭＥＳＣＯ,東証２部
1739,ＳＥＥＤＨ,ＪＡＳＤＡＱ
1743,コーアツ工業,東証２部
1757,クレアＨＤ,東証２部
1758,太洋基礎,ＪＡＳＤＡＱ
1762,高松Ｇ,東証１部
1764,工藤建設,東証２部
1766,東建コーポ,東証１部
1768,ソネック,東証１部
1770,藤田エンジ,ＪＡＳＤＡＱ
1771,日本乾溜,福証
1775,ＦＦＥ＆Ｃ,東証２部
1776,三住道路,東証２部
1777,川崎設備,名証
1780,ヤマウラ,東証１部
1782,常磐開発,ＪＡＳＤＡＱ
1783,アジアゲート,ＪＡＳＤＡＱ
1787,ナカボテック,ＪＡＳＤＡＱ
1788,三東工業,ＪＡＳＤＡＱ
1789,ＥＴＳＨＤ,ＪＡＳＤＡＱ
1793,大本組,ＪＡＳＤＡＱ
1795,マサル,ＪＡＳＤＡＱ
1798,守谷商会,ＪＡＳＤＡＱ
1799,第一建設,ＪＡＳＤＡＱ
1801,大成建,東証１部
1802,大林組,東証１部
1803,清水建,東証１部
1805,飛島建,東証１部
1807,佐藤渡辺,ＪＡＳＤＡＱ
1808,長谷工,東証１部
1810,松井建,東証１部
1811,銭高組,東証１部
1812,鹿島,東証１部
1813,不動テトラ,東証１部
1814,大末建,東証１部
1815,鉄建建設,東証１部
1820,西松建,東証１部
1821,三住建設,東証１部
1822,大豊建,東証１部
1824,前田建,東証１部
1826,佐田建,東証１部
1827,ナカノフドー,東証１部
1828,田辺工業,東証２部
1832,北海電工,札証
1833,奥村組,東証１部
1835,東鉄工,東証１部
1840,土屋ＨＤ,東証２部
1841,サンユ建,ＪＡＳＤＡＱ
1844,大盛工,東証２部
1847,イチケン,東証１部
1850,南海辰村,東証２部
1852,浅沼組,東証１部
1853,森組,東証２部
1860,戸田建,東証１部
1861,熊谷組,東証１部
1866,北野建,東証１部
1867,植木組,東証１部
1869,名工建,名証
1870,矢作建,東証１部
1871,ＰＳ三菱,東証１部
1873,日本ハウスＨ,東証１部
1878,大東建,東証１部
1879,新日本建,東証１部
1881,ＮＩＰＰＯ,東証１部
1882,東亜道,東証１部
